xxx_400155566	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		4	米娅		Play_Vo_dlc33ep2_girl023_01	呜……这也太高了吧……就没有电梯能直达吗？	0
2		5	恒沙代理		Play_Vo_dlc33ep2_npc100_01	很遗憾，汉诺塔内并未设置直达顶层的电梯。	0
3		4	晴		Play_Vo_dlc33ep2_girl006b_01	你们平时都是这样……只用一块浮空踏板上去的吗？	0
4		5	恒沙代理		Play_Vo_dlc33ep2_npc100_02	嗯，理论上是这样的，但实际上自从卡尔帕娜女士离世过后，那里就再也无人造访了。	0
5		0	分析员夜魇			但恒沙的本体，一直都在那里注视着一切，对吧？	0
6		6	米娅		Play_Vo_dlc33ep2_girl023_02	唔，就好像高居云端的神明大人一样，用天空划清了自己与凡人的界限……	0
7		0				米娅嘟起小嘴，就这样当着代理人小姐的面吐槽道。	0
8		6	恒沙代理		Play_Vo_dlc33ep2_npc100_03	您误会了，米娅小姐。	0
9		6	恒沙代理		Play_Vo_dlc33ep2_npc100_04	卡尔帕娜女士，她毕生的理想就是创造一个所有人类都能不分高低贵贱，和谐共处的世界。	0
10		6	恒沙代理		Play_Vo_dlc33ep2_npc100_05	而新恒提罗只是卡尔帕娜女士迈出的第一步，同时，也是她在当时条件下能够抵达的极限。	0
11		0	恒沙代理		Play_Vo_dlc33ep2_npc100_06	总有一天，我们会彻底消除这片天空的分界线。	0
12		6	米娅		Play_Vo_dlc33ep2_girl023_03	嗯……“总有一天”啊……	0
13		0				米娅若有所思地重复了一遍代理人小姐的话，随后便将头扭了过去。	0
14		0				盯着渐渐远离的地面，不再言语。	0
15		6	恒沙代理		Play_Vo_dlc33ep2_npc100_07	分析员阁下，趁着抵达顶层还有一段时间，能否允许我说明下新恒提罗的现状？	0
16		0	分析员夜魇			请便。	0
17		6	恒沙代理		Play_Vo_dlc33ep2_npc100_08	那么……就从之前的入侵事件说起吧。	0
18		0				她探出手指，在我们面前的空气上轻轻滑动过后，便投影出了熟悉的景象。	0
19		0	恒沙代理		Play_Vo_dlc33ep2_npc100_09	您初次来访时，埃达曾借助艾尔莎小姐干扰防御系统的间隙，入侵了恒沙的数据中心。	0
20		0	恒沙代理		Play_Vo_dlc33ep2_npc100_10	虽然当时没造成破坏，但却留下了一条无法修复的“通道”，同时一部分的用于维系歧路宇宙升级的模拟参数也被篡改了。	0
