xxx_4275272597	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		9	米娅星彩			哇呼——真是好久没回来这里了！	0
2		9	米娅星彩			泳池这边还是和以前一样啊，那边是我的宿舍，旁边是教学楼……你看你看还有操场！	0
3		9	米娅星彩			我很想念学校，也不知道学校有没有想我呀~	0
4		0				此刻的我和米娅正位于新恒提罗中央学院的某处侧门边。	0
5		0				门内自然是美好的校园风光，而门外的米娅正轻巧地攀在一棵树的枝杈上眺望校内风景，窈窕身影临风欲举地轻晃。	0
6		0				而我正抬头看着树上的米娅。	0
7		0	分析员无帽			当心一点，别从树上摔下来了。	0
8		0				我低声提醒她。	0
9		0				由于时处周末的缘故，校内空无一人。	0
10		0				原本来说我们应该选择大张旗鼓走正门的，可无奈的是，侧门边的那棵歪脖子树不知为何引起了米娅的关注。	0
11		6	米娅星彩			放心啦分析员，我的运动细胞可是非常厉害的，不会有问题的啦——	0
12		6	米娅星彩			不对不对，这种时候我应该称呼你为前辈的，playername前辈。	0
13		0	分析员无帽			可以不用叫我前辈的……	0
14		6	米娅星彩			诶？你不会害羞了吧？前辈，前辈？	0
15		0				她忽地垂下头来，连带着粉色的长发也荡在空中。	0
16		6	米娅星彩			分析员，你好像有点紧张哦，你怎么了呀？	0
17		0	分析员无帽			当心一点，你这样很容易失去平衡。	0
18		6	米娅星彩			你在转移话题——	0
19		0				她似乎有些得意，顺着我的话轻轻晃了晃，枝杈哗啦啦摆动。	0
20		0	分析员无帽			别闹，这样很容易掉下去的。	0
21		6	米娅星彩			才不会呢，以前我读书的时候经常在这棵树上蹦来蹦去，这么多年也没见哪一次——呜哇！	0
22		0				忽的一声悲鸣，随即而来的是树叶和枝杈翻飞的摩擦声以及少女的落水声。	0
23		0	分析员无帽			……米娅？	0
24		9	米娅星彩			唔……咕噜咕噜咕噜呜哇！	0
25		0				我将目光投了过去，可以清楚地看见少女在水里手忙脚乱地扑腾着。	0
26		9	米娅星彩			呜……那个，没事的，我没事的啦！	0
27		9	米娅星彩			呜……我变重了！一定是最近吃太多的缘故！	0
28		0				她只能颇为狼狈地游回岸边，像是沾湿了毛的小动物那样甩着头，水花随着她的动作一波接着一波绽放开来，像是淅沥沥下了一场小雨。	0
29		0	分析员无帽			需要帮助吗？	0
30		0				我向她伸出手来。	0
31		9	米娅星彩			唔……要！	0
32		0				她抬头看着我，目光里似乎闪过一丝俏皮的想法。	0
33		0				果然，就在她伸出手的一瞬间，那只手猛然用力，狠狠地将我拉向了她所在的水面。	0
34		0				【哗啦！】	0
35		9	米娅星彩			哇呼——	0
36		0				于是我也顺势跌落至水中，迸溅的水花声中，米娅的笑声尤为欢快。	0
37		9	米娅星彩			大——成——功！	0
38		0				我从水中钻出，利落地甩了甩头发上的水珠。	0
39		0	分析员无帽			不愧是米娅，真是被你捉弄到了。	0
40		0				其实我并不是没有察觉到米娅的小心思，想要应对这种突如其来的小动作也是轻而易举。	0
41		0				——但我假装对此毫无察觉，因为这样做的话，米娅一定会很开心。	0
42		0				果真，米娅的笑容也绽放得如同四处飞溅的水花那般欢脱。	0
43		6	米娅星彩			嘻嘻，我对分析员尝试这么多次，总有一次会成功的啦——	0
44		0				米娅这么嬉笑了一会儿，突然眨巴眨巴眼睛，目光在我的身体上游移了起来。	0
45		6	米娅星彩			这么一说的话，我们的衣服都湿透了诶！	0
46		6	米娅星彩			你看你看，湿到都能拧出水来哦——	0
47		0				这么说着，她还伸手捏起自己衣服的一角，手指轻轻拧动，水珠便从指缝间落了下来。	0
48		0				——诚然事实正如她所说，现在的我俩浑身都湿了个通透。	0
49		6	米娅星彩			唔，都被分析员弄得湿湿的了……	0
50		0				米娅小声咕哝着，像是琢磨出了什么似的，目光瞟向了我，嘴角渐渐勾起了一丝笑意。	0
51		6	米娅星彩			你看，衣服都是透明的哦。	0
52		0				她伸手摁了摁胸前饱满的部分，原本洁白的布料也因为被水浸湿，露出了内衬的粉红色。	0
53		0				于是我的目光也不由自主地被吸引了过去。	0
54		0				似乎是察觉到了我的眼神，米娅的笑容里渐渐挂上了玩味。	0
