xxx_1444153992	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0				公司的走廊，忽然变得繁忙拥挤起来。	0
2		6	恩雅澜风			这次，需要麻烦大家了。	0
3		0	公司员工A			不会不会！	0
4		0	公司员工B			没错，一点都不麻烦！	0
5		0	公司员工C			恩雅小姐在工作方面给了我们很多帮助，现在好不容易有了帮到你的机会，我们肯定不会让你失望。	0
6		0	公司员工D			是呀是呀！	0
7		0				我站在恩雅的身后，看着公司的员工们踊跃挤进来，参与报名。	0
8		0				她们领完工具、材料，就风风火火投入到建设之中。	0
9		0				恩雅笑眯眯转过身看向我。	0
10		6	恩雅澜风			分析员，好像看呆啦。	0
11		0	分析员战斗			是啊，是看呆了。	0
12		0				我回过神来，望着近在咫尺的少女。	0
13		0	分析员战斗			恩雅的魅力，还真是惊人。	0
14		0				我能看出，那些人都是自发响应恩雅的号召。没有一个人表现出像是被命令的不情愿。	0
15		6	恩雅澜风			我的魅力，是只向分析员展示的。能做到这些，可不是凭借我的魅力哦。	0
16		0				恩雅浅笑着，她的手指勾起一缕发丝，轻捻着，用末梢在我的鼻尖画了个圈。有些痒痒的香味好像一下子钻进了我的心里。	0
17		6	恩雅澜风			我和分析员说过，其实我还藏着很狡猾的一面吧。	0
18		0				说实话，我怎么都无法将恩雅与狡猾两个字联系在一起。	0
19		0				而这时，恩雅忽然又改变了话题。	0
20		6	恩雅澜风			对了，分析员，你喜欢怎样的花多一些？	0
21		0	分析员战斗			喜欢怎样的花多一些？	0
22		6	恩雅澜风			是啊。虽然每种花都很美丽，但分析员应该也有偏爱的？	0
23		0	分析员战斗			我对于花没有偏爱，真要说偏爱的话，只要是恩雅种的，我就喜欢。	0
24		6	恩雅澜风			这样啊~好吧，姐姐知道了，还真是调皮的答案呢。	0
25		6	恩雅澜风			不过，挺好的。那就什么花都种些吧，属于分析员的花园，本来就应该多姿多彩些。	0
26		0				我看见图纸上她展示给我的小花园，里面规划了好几个花圃。	0
27		0	分析员战斗			打理这些，会很辛苦吧？	0
28		0				我拥住她纤细，却无比柔美的腰肢。	0
29		6	恩雅澜风			辛苦？~我觉得这应该说是满足哦。	0
